Ceremony,Year,Class,CanonicalCategory,Category,NomId,Film,FilmId,Name,Nominees,NomineeIds,Winner,join_key,tmdb_id
14,1941,Special,"SPECIAL AWARD","SPECIAL AWARD",an0048874,Fantasia,tt0032455,,"Leopold Stokowski",nm0831439,TRUE,fantasia,756
14,1941,Special,"SPECIAL AWARD","SPECIAL AWARD",an0048875,Fantasia,tt0032455,,"Walt Disney, William Garity, John N. A. Hawkins, the RCA Manufacturing Company","nm0000370,nm0307477,nm0370143,?",TRUE,fantasia,756
15,1942,Music,"MUSIC (Original Score)","MUSIC (Music Score of a Dramatic or Comedy Picture)",an0051724,Bambi,tt0034492,"Frank Churchill, Edward Plumb","Frank Churchill, Edward Plumb","nm0161430,nm0687570",,bambi,3170
15,1942,Music,"MUSIC (Original Song)","MUSIC (Song)",an0051718,Bambi,tt0034492,"Music by Frank Churchill; Lyrics by Larry Morey","Frank Churchill, Larry Morey","nm0161430,nm0604392",,bambi,3170
15,1942,Production,"SOUND RECORDING","SOUND RECORDING",an0051687,Bambi,tt0034492,"Walt Disney Studio Sound Department, Sam Slyfield, Sound Director","Walt Disney Studios, Sam Slyfield","co0008970,nm0806351",,bambi,3170
16,1943,Acting,"ACTOR IN A LEADING ROLE",ACTOR,an0049558,Casablanca,tt0034583,"Humphrey Bogart","Humphrey Bogart",nm0000007,,casablanca,289
16,1943,Acting,"ACTOR IN A SUPPORTING ROLE","ACTOR IN A SUPPORTING ROLE",an0049569,Sahara,tt0036323,"J. Carrol Naish","J. Carrol Naish",nm0619798,,sahara,7364
16,1943,Acting,"ACTOR IN A SUPPORTING ROLE","ACTOR IN A SUPPORTING ROLE",an0049570,Casablanca,tt0034583,"Claude Rains","Claude Rains",nm0001647,,casablanca,289
16,1943,Production,"CINEMATOGRAPHY (Black-and-White)","CINEMATOGRAPHY (Black-and-White)",an0049599,Casablanca,tt0034583,"Arthur Edeson","Arthur Edeson",nm0249186,,casablanca,289
16,1943,Production,"CINEMATOGRAPHY (Black-and-White)","CINEMATOGRAPHY (Black-and-White)",an0049605,Sahara,tt0036323,"Rudolph Maté","Rudolph Maté",nm0005789,,sahara,7364
